stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,transport_type
23922,23922,5-Я КРАСНОАРМЕЙСКАЯ УЛ.,59.913379,30.318416,0,2,bus
23923,23923,"ПР.ЭНГЕЛЬСА, УГ. ПР. ЛУНАЧАРСКОГО",60.044272,30.329139,0,2,bus
23924,23924,"СТ. МЕТРО ""ПР.ПРОСВЕЩЕНИЯ""",60.053490,30.335759,0,2,bus
23925,23925,"СТ. МЕТРО ""ПР.ПРОСВЕЩЕНИЯ""",60.052191,30.334029,0,2,bus
23927,23927,5-Я КРАСНОАРМЕЙСКАЯ УЛ.,59.913561,30.317969,0,2,bus
23881,23881,"ПУЛКОВСКОЕ ОТДЕЛЕНИЕ СОВХОЗА ""ШУШАРЫ""",59.763288,30.361949,0,2,bus
23843,23843,ГЛУХАРСКАЯ УЛ. ПОСАДКИ- ВЫСАДКИ НЕТ,60.027896,30.210162,0,2,bus
23861,23861,ТАЛЛИНСКАЯ УЛ.,59.924375,30.416373,0,2,bus
23823,23823,УЛ. МАРШАЛА НОВИКОВА,60.008175,30.265887,0,2,bus
23821,23821,ЗАЯЧИЙ РЕМИЗ,59.870010,29.879955,0,2,bus
23824,23824,ПЛАНЕРНАЯ УЛ.,60.021374,30.225572,0,2,bus
24046,24046,ВОКЗАЛ,59.723370,30.428470,0,2,bus
24047,24047,ГУММОЛОСАРЫ,59.690954,30.416417,0,2,bus
24049,24049,"УЛ. ХАЗОВА, УГ. ЖЕЛЕЗНОДОРОЖНОЙ УЛ.",59.738816,30.419094,0,2,bus
24048,24048,УЛ. МОЛДАГУЛОВОЙ,59.947762,30.409392,0,2,bus
24051,24051,"ДЕТСКОСЕЛЬСКИЙ БУЛЬВАР, 1",59.740173,30.394518,0,2,bus
24050,24050,КОНТРОЛЬНЫЙ ПУНКТ №2,59.795422,30.287850,0,2,bus
24053,24053,НОВОСИБИРСКАЯ УЛ.,59.993634,30.302380,0,2,bus
24052,24052,УЛ. МАТРОСА ЖЕЛЕЗНЯКА,59.992878,30.300910,0,2,bus
24055,24055,КУРОРТНАЯ УЛ.,60.105831,29.954339,0,2,bus
24054,24054,ЛАНСКОЕ ШОССЕ,59.990044,30.301164,0,2,bus
24056,24056,"КАДЕТСКИЙ БУЛЬВАР, УГ. ПАРКОВОЙ УЛ.",59.710387,30.401471,0,2,bus
24059,24059,ТК КОНТИНЕНТ,59.859355,30.248737,0,2,bus
24003,24003,Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ,59.880324,29.864128,0,2,bus
24000,24000,"СТ. МЕТРО ""ВЫБОРГСКАЯ""",59.972070,30.348210,0,2,bus
24001,24001,УЛ. АЛЕКСАНДРА МАТРОСОВА,59.982132,30.343577,0,2,bus
24006,24006,ГУММОЛОСАРОВСКАЯ УЛ.,59.682685,30.435367,0,2,bus
24007,24007,"РОССИЙСКИЙ ПР., 14",59.928157,30.473322,0,2,bus
24004,24004,"САДОВАЯ УЛ., УГ. ГОСПИТАЛЬНОЙ УЛ.",59.685653,30.445355,0,2,bus
24005,24005,"КОНЮШЕННАЯ УЛ., УГ. САДОВОЙ УЛ.",59.686622,30.443703,0,2,bus
24019,24019,Морской вокзал № 2,59.945428,30.193126,0,2,bus
24018,24018,Морской вокзал № 3,59.949125,30.196109,0,2,bus
24017,24017,Морской вокзал № 4,59.952748,30.188095,0,2,bus
24023,24023,"ПЕТЕРБУРГСКОЕ ШОССЕ, УГ. ЛЕНИНГРАДСКОЙ УЛ.",59.733378,30.395991,0,2,bus
24022,24022,"ПУШКИНСКАЯ УЛ., УГ. ДВОРЦОВОЙ УЛ.",59.723513,30.399531,0,2,bus
24020,24020,Морской вокзал № 1,59.943784,30.183835,0,2,bus
24027,24027,ГЕОЛОГИЧЕСКАЯ УЛ.,59.747680,30.082375,0,2,bus
24024,24024,ВОКЗАЛ,59.722485,30.428789,0,2,bus
24030,24030,"ПОС. ЮККИ,2 (ПОСАДКА)",60.110843,30.283419,0,2,bus
23972,23972,НЕШЛОТСКИЙ ПЕР.,59.967751,30.349903,0,2,bus
23968,23968,ЗВЕНИГОРОДСКАЯ УЛ.,59.923596,30.336211,0,2,bus
23969,23969,РАЗЪЕЗЖАЯ УЛ.,59.926287,30.342884,0,2,bus
23970,23970,"СТ. МЕТРО ""ВЛАДИМИРСКАЯ""",59.928486,30.347750,0,2,bus
23971,23971,УЛ. КОМСОМОЛА,59.955055,30.350857,0,2,bus
23989,23989,"СТ. МЕТРО ""ЛИГОВСКИЙ ПР.""",59.921035,30.353919,0,2,bus
23991,23991,"СТ. МЕТРО ""ЛИГОВСКИЙ ПР.""",59.921353,30.354796,0,2,bus
23990,23990,"СТ. МЕТРО ""ОБВОДНЫЙ КАНАЛ""",59.916481,30.351695,0,2,bus
23997,23997,"СТ. МЕТРО ""ЛЕСНАЯ""",59.984526,30.341925,0,2,bus
23996,23996,"БЕРЕЗОВАЯ УЛ., УГ. ДЕТСКОСЕЛЬСКОЙ УЛ.",59.686072,30.432466,0,2,bus
23999,23999,"СТ. МЕТРО ""ПЛ. ЛЕНИНА""",59.958383,30.353223,0,2,bus
